clavero,componente,nivel,nivel1,componente_nivel1,nivel2,componente_nivel2
FRE0708,Cables y tiradores de desbloqueo,2,FRE07,Freno en disco neumático,,
FRE08,Sistemas de freno electromagnéticos,1,,,,
FRE0801,Patines,2,FRE08,Sistemas de freno electromagnéticos,,
FRE0802,Elementos de suspensión,2,FRE08,Sistemas de freno electromagnéticos,,
FRE0803,Aparellaje eléctrico,2,FRE08,Sistemas de freno electromagnéticos,,
FRE080301,    Bobina electroimán,3,FRE08,Sistemas de freno electromagnéticos,FRE0803,Aparellaje eléctrico
FRE080302,    Conectores y cableado,3,FRE08,Sistemas de freno electromagnéticos,FRE0803,Aparellaje eléctrico
FRE0804,Conexiones neumáticas,2,FRE08,Sistemas de freno electromagnéticos,,
FRE09,Electrónica de control de freno y antibloqueo,1,,,,
FRE0901,Rack,2,FRE09,Electrónica de control de freno y antibloqueo,,
FRE0902,Fuente de alimentación,2,FRE09,Electrónica de control de freno y antibloqueo,,
FRE0903,Tarjeta CPU,2,FRE09,Electrónica de control de freno y antibloqueo,,
FRE0904,Tarjeta I/O,2,FRE09,Electrónica de control de freno y antibloqueo,,
FRE0905,Tarjeta Comunicaciones,2,FRE09,Electrónica de control de freno y antibloqueo,,
FRE0906,Conectores,2,FRE09,Electrónica de control de freno y antibloqueo,,
FRE10,Llaves de aislamiento ,1,,,,
FRE11,Válvulería de suspensión secundaria,1,,,,
FRE1101,Toma manométrica,2,FRE11,Válvulería de suspensión secundaria,,
FRE1102,Válvula de seguridad,2,FRE11,Válvulería de suspensión secundaria,,
FRE1103,Válvula de nivelación,2,FRE11,Válvulería de suspensión secundaria,,
FRE1104,Válvula de presión media,2,FRE11,Válvulería de suspensión secundaria,,
FRE1105,Válvula compensadora,2,FRE11,Válvulería de suspensión secundaria,,
FRE1106,Varilla reguladora,2,FRE11,Válvulería de suspensión secundaria,,
FRE12,Mangueras Flexibles,1,,,,
